Id,name,type,area,image,access,opening_hour,Features,prefecture_id,address
1,水元総合スポーツセンターテニスコート,砂入り人工芝2面,東京都葛飾区水元1-23-1,“db/fixtures/image1.jpg”,JR常磐線各駅停車　金町駅から徒歩28分,9:00-21:00,照明有りだが夜少し暗め。比較的新しいコート。,13,東京都葛飾区水元1-23-1
2,葛飾区にいじゅくみらい公園運動場テニスコート,ハードコート1面、砂入り人工芝2面,東京都葛飾区新宿6-3-20,“db/fixtures/image2.jpg”,JR常磐線各駅停車　金町駅から徒歩11分,8:00-21:00,ハードコート1面は周りから独立しており使いやすい。,13,東京都葛飾区新宿6-3-20
3,城山湖テニスコート,クレーコート4面,神奈川県相模原市緑区川尻4452-8,“db/fixtures/image3.jpg”,JR橋下駅からバス　小松橋下車徒歩25分,8:30-16:30,駐車場30台有り。,14,神奈川県相模原市緑区川尻4452-8
4,綾瀬市民スポーツセンターテニスコート,砂入り人工芝5面,神奈川県綾瀬市深谷上3-6-1,“db/fixtures/image4.jpg”,相鉄・JR直通線　かしわ台駅から徒歩44分,9:00-21:00,コート数も多く、大会なども行われるコート。,14,神奈川県綾瀬市深谷上3-6-1
5,高須南テニスコート,ハードコート2面,千葉県浦安市港84-1,“db/fixtures/image5.jpg”,バス 19系統で浦安南高校特養ホーム　下車徒歩1分　15系統・18系統で高洲海浜公園　終点下車徒歩10分,9:00-19:00,利用料金が安く都内からも行きやすい。駐車場10台。,12,千葉県浦安市港84-1
6,南宋運動広場テニスコート,ハードコート2面,千葉県市原市奉免166-1,“db/fixtures/image6.jpg”,小湊鉄道「上総牛久駅」より徒歩15分（駐車場あり）,9:00-17:00,野球場があり開ているテニスコート。,12,千葉県市原市奉免166-1
7,"蜻蛉池公園テニスコート
",砂入り人工芝14面,大阪府岸和田市尾生町２４９４,“db/fixtures/image7.jpg”,JR阪和線 下松駅から徒歩56分,9:00-17:00,"収容人数1,000人の観覧席を備えた本格的なテニスコートです。競技大会などに利用できます。",27,大阪府岸和田市尾生町2494
8,野田川テニスコート,クレーコート4面,京都府与謝野町字幾地450,“db/fixtures/image8.jpg”,京都丹後鉄道宮豊線 与謝野駅から徒歩57分,8:30-12:00,近隣では最多コート数。,26,京都府与謝野町字幾地450
9,モエレ沼公園テニスコート,砂入り人工芝15面,北海道札幌市東区モエレ沼公園1-1,“db/fixtures/image9.jpg”,JR札沼線 あいの里教育大駅から徒歩75分,7:00-19:00,休憩室・ベンダーコーナー・トイレ・更衣室・放送設備・シャワー室あり,2,北海道札幌市東区モエレ沼公園1-1
10,"手稲稲積公園
",砂入り人工芝16面,北海道札幌市手稲区前田1条5,“db/fixtures/image10.jpg”,JR函館本線 稲積公園駅から徒歩7分,7:00-19:00,施設が広く、イベントなども豊富。,2,北海道札幌市手稲区前田1条5
11,東平尾公園,砂入り人工芝16面,福岡県福岡市博多区東平尾公園1-1-1,“db/fixtures/image11.jpg”,福岡市空港線 福岡空港駅から徒歩22分,9:00-19:00,緑に包まれた屋外コートと照明明るい屋内コートあり。,40,福岡県福岡市博多区東平尾公園1-1-1
12,青葉公園,砂入り人工芝6面,福岡県福岡市東区青葉４丁目１,“db/fixtures/image12.jpg”,R香椎線 舞松原駅から徒歩9分,9:00-19:00,駐車場設備174台。,40,福岡県福岡市東区青葉4-1
